Brand,product,Price,Rating Score,Rating Count
ASUS,"Tuf A15 Fa507nur-lp035 Amd Ryzen7 7435hs 16gb 512gb Ssd Rtx4050-140watt 144hz Dos 15.6"" Fhd Taş",37.999 TL,4.5,15
Huawei,Matebook D16 12.Nesil Core i5 12450H-8Gb-512Gb Ssd-16inc-W11,"22.699,99 TL",4.1,21
LENOVO,"AMD Ryzen 5 5500U 16GB 512GB M.2 SSD 82R400KUTX ATL35 W11pro 15.6"" Notebook+Çanta",14.299 TL,4.2,58
ACER,Chromebook 315 Cb315-3h Intel Celeron N4020 İşlemci Ips Uma 4gb Ram 64 Emmc 15.6''fhd Ekran Chr,7.499 TL,4.2,20
HP,"Victus 16-s0032nt Amd R5 7640hs 16gb 512gb Ssd Rtx3050-6gb Freedos 16.1"" 144 Hz Fhd Taşınabilir B",28.599 TL,3.7,7
MSI,Katana 17 B13vfk-1037xtr Intel Core I7 13620h 16gb 1tb Ssd Rtx4060 Freedos 17.3 Fhd 144hz Taşına,59.999 TL,4.9,23
Huawei,"MateBook D16 Intel Core i5-13420H 16GB 1TB SSD 16"" Windows 11 Gri Dizüstü Bilgisayar",29.599 TL,4.0,20
CASPER,Excalibur G870.1270-DF70X-B i7-12700H 32GB RAM 1TB NVMe SSD 8GB RTX4070 DOS GAMING LAPTOP,50.099 TL,5.0,1
ASUS,"ExpertBook B1 B1502CBA-I38512B0D02 i3-1215U 16GB 512SSD 15.6"" FullHD FreeDOS Dizüstü Bilgisayar",13.299 TL,,
ASUS,"Rog Strix G16 G614jı-n3189 Intel Core I7 13650hx 16 Gb 1 Tb Ssd Rtx 4070 165 Hz Freedos 16"" Wux",73.399 TL,4.6,15
Onda,Oliver Book Intel N5030 3.10 GHz 8GB RAM 256GB SSD 10.1'' FHD IPS DOKUNMATIK TABLET PC W11P,5.999 TL,4.3,6
ASUS,"E1504FA-NJ115 Vivobook Go 15 Ryzen 5 7520U 8GB 512GB SSD 15.6"" FHD Fdos Taşınabilir Bilgisayar",15.999 TL,5.0,8
MONSTER,"Huma H5 V4.1 Black Intel Core I5 1235u 16 Gb Ram 500 Gb Ssd Freedos 15,6"" Fhd 120 Hz",25.399 TL,4.5,11
ASUS,Tuf Gaming A15 Fa506nf-hn068 R5 7535hs 16gb 512gb Ssd Rtx2050 144hz Dos 15.6 Fhd,25.499 TL,4.6,8
